month,cava_restaurant,chipotle,sweetgreen,month_dt
2021-12,1.0,74.0,3.0,2021-12-01
2022-01,0.0,66.6,3.0,2022-01-01
2022-02,0.0,64.0,3.25,2022-02-01
2022-03,0.0,65.25,3.25,2022-03-01
2022-04,0.0,63.75,3.5,2022-04-01
2022-05,0.0,61.6,3.8,2022-05-01
2022-06,0.0,64.0,4.0,2022-06-01
2022-07,0.2,65.0,4.0,2022-07-01
2022-08,0.0,63.75,3.75,2022-08-01
2022-09,0.0,61.75,3.5,2022-09-01
2022-10,0.2,57.6,3.8,2022-10-01
2022-11,1.0,52.25,3.25,2022-11-01
2022-12,1.0,59.0,3.25,2022-12-01
2023-01,1.0,65.6,4.0,2023-01-01
2023-02,1.0,62.25,3.75,2023-02-01
2023-03,1.0,69.5,4.0,2023-03-01
2023-04,1.0,69.2,4.2,2023-04-01
2023-05,1.0,67.5,4.5,2023-05-01
2023-06,1.25,63.5,4.0,2023-06-01
2023-07,1.0,66.0,4.0,2023-07-01
2023-08,1.0,62.5,3.75,2023-08-01
2023-09,0.5,59.5,3.5,2023-09-01
2023-10,1.0,65.8,3.2,2023-10-01
2023-11,1.0,56.25,2.75,2023-11-01
2023-12,1.0,64.2,2.8,2023-12-01
2024-01,0.5,62.75,3.25,2024-01-01
2024-02,0.75,66.0,3.75,2024-02-01
2024-03,0.8,75.0,4.0,2024-03-01
2024-04,1.0,78.0,4.0,2024-04-01
2024-05,1.0,76.0,5.0,2024-05-01
2024-06,1.0,76.6,4.4,2024-06-01
2024-07,1.0,72.25,4.0,2024-07-01
2024-08,1.0,72.5,4.0,2024-08-01
2024-09,1.0,67.2,4.0,2024-09-01
2024-10,1.0,68.0,4.0,2024-10-01
2024-11,1.0,57.75,3.0,2024-11-01
2024-12,1.0,65.6,2.8,2024-12-01
2025-01,1.0,64.25,3.5,2025-01-01
2025-02,0.75,60.75,3.5,2025-02-01
2025-03,0.8,80.2,4.0,2025-03-01
2025-04,1.0,69.25,4.0,2025-04-01
2025-05,1.0,67.75,4.0,2025-05-01
2025-06,1.0,69.4,4.2,2025-06-01
2025-07,1.0,68.75,4.75,2025-07-01
2025-08,0.8,71.0,4.4,2025-08-01
2025-09,0.75,62.75,4.0,2025-09-01
2025-10,1.0,65.25,4.0,2025-10-01
2025-11,1.0,65.0,3.8,2025-11-01
2025-12,1.0,72.0,3.0,2025-12-01
